,tweet_id,Usuário,Publicação,Data,Compartilhamentos,Comentários,Likes,Citações,Sentimento
0,1546600993936252929,gabriel,pedi coxinha no ifood e simplesmente to com a expectativa la no alto o cheiro da decepção tá vindo,2022-07-11 21:03:06+00:00,0,1,1,0,pos
1,1546600974210449413,milena,@sophii_i amiga nao coma pedi esses dias no ifood cupcake veio so e eles nao me reembolsam por nada nesse mundo!!!! 😡😡😡😡😡,2022-07-11 21:03:01+00:00,0,1,0,0,pos
2,1546600875958964225,BOCA DE 09 CARTAO CLONADO,@carolinx 🚨cansado de comprar e não receber? vem comigo consultavel para compras na net e virada de saldo e as unidades apenas para compras na net shein ifood americanas uber entre outros tenho referencias 💳,2022-07-11 21:02:37+00:00,0,0,0,0,pos
3,1546600849748770817,gaby ✨,pedi salgadinho no ifood espero que seja bom 😮‍💨,2022-07-11 21:02:31+00:00,0,0,0,0,pos
4,1546600828936626178,Alguém precisa de Ajuda!,rt @jeffers @ifood estou tentando contato com todas as plataformas possíveis e não tenho meu problema resolvido estou com minha c…,2022-07-11 21:02:26+00:00,1,0,0,0,neg
5,1546600193881169921,Gabriel,melhor coisa que aconteceu foi ter entrega de farmácia no ifood tô fazendo a festa de skin care https t co wb eu jnj,2022-07-11 20:59:55+00:00,0,0,0,0,neg
6,1546600188067938305,stay at home daughter,@zeeyter @ifood não sei mas pra mim n vale mais a pena comprar sem cupom de kkk até apaguei o app,2022-07-11 20:59:53+00:00,0,0,0,0,neg
7,1546599877764956160,Carlos CRF ❤️🖤,mano trocaram a equipe toda do mcdonald's e o ifood nunca demorou tanto pra sair,2022-07-11 20:58:39+00:00,0,0,0,0,pos
8,1546599854461313025,muleque playboy funkeiro sexo anal,incrivel cara todo dia no mesmo horario chega notificaçao do ifood tentando me vender alguma coisa e todo dia eu escuto o vrrr vrrr e já pego o celular igual um animal pensando que é algo importante,2022-07-11 20:58:34+00:00,0,0,0,0,neg
9,1546599781828526082,JEFFERSON,@ifood estou tentando contato com todas as plataformas possíveis e não tenho meu problema resolvido estou com minha conta inativada a dias com presos na carteira que era para fazer compras de alimentos no mercado me ajudem por favor to em ato de desespero,2022-07-11 20:58:17+00:00,1,0,0,0,neg
