,word,freq,likes,rt,reply,quotes
0,pedir,1341,7768.0,12481.0,1644.0,102.0
1,fazer,497,10506.0,4130.0,809.0,86.0
2,pagar,457,1618.0,142.0,342.0,33.0
3,querer,380,4941.0,944.0,399.0,36.0
4,tarar,375,39.0,1.0,100.0,14.0
5,boleto,324,41.0,3.0,101.0,14.0
6,comprar,293,9698.0,4647.0,726.0,73.0
7,cupom,262,674.0,133.0,135.0,5.0
8,entregar,249,2794.0,5123.0,305.0,24.0
9,mandar,248,4734.0,519.0,405.0,25.0
10,aqui,224,1167.0,2818.0,273.0,16.0
11,colocar,215,235.0,9.0,148.0,14.0
12,dia,207,1135.0,3572.0,222.0,15.0
13,hoje,197,554.0,5003.0,123.0,10.0
14,dar,183,3480.0,779.0,357.0,27.0
15,todo,176,2662.0,5446.0,215.0,16.0
16,achar,160,1400.0,2648.0,202.0,9.0
17,vir,157,841.0,3527.0,183.0,15.0
18,comer,154,2519.0,10026.0,374.0,21.0
19,ver,151,767.0,1942.0,151.0,10.0
20,caro,150,488.0,4991.0,180.0,6.0
21,ficar,147,2137.0,1133.0,297.0,25.0
22,comido,147,1739.0,1128.0,243.0,25.0
23,coisa,138,1905.0,3322.0,176.0,3.0
24,real,138,2092.0,88.0,205.0,7.0
25,poder,133,2722.0,136.0,147.0,5.0
26,bom,131,477.0,57.0,107.0,6.0
27,agora,124,1890.0,341.0,195.0,12.0
28,saber,123,396.0,5454.0,155.0,11.0
29,chegar,122,2142.0,1753.0,301.0,25.0
30,ter,121,5459.0,4841.0,986.0,81.0
31,entregador,120,3742.0,5845.0,242.0,20.0
32,casar,116,2801.0,6355.0,368.0,34.0
33,gastar,114,220.0,92.0,96.0,3.0
34,horar,113,1421.0,79.0,116.0,8.0
35,abrir,111,1375.0,103.0,96.0,3.0
36,acabar,110,394.0,545.0,93.0,1.0
37,lanchar,107,279.0,2740.0,110.0,9.0
38,nado,106,1520.0,967.0,150.0,7.0
39,conseguir,105,347.0,10.0,125.0,5.0
40,pizza,105,407.0,1783.0,103.0,7.0
41,restaurante,104,1107.0,50.0,171.0,10.0
42,alguém,103,506.0,148.0,87.0,5.0
43,gente,101,860.0,107.0,142.0,3.0
44,contar,101,1733.0,1132.0,214.0,23.0
45,nunca,99,371.0,78.0,71.0,5.0
46,tava,95,1437.0,77.0,113.0,8.0
47,fome,95,422.0,215.0,75.0,4.0
48,passar,93,1526.0,315.0,131.0,7.0
49,manir,91,152.0,8.0,62.0,1.0
50,twiteradelpunk,90,,,,
51,sair,86,453.0,419.0,86.0,15.0
52,esperar,85,446.0,77.0,82.0,6.0
53,açaí,85,163.0,52.0,56.0,5.0
54,deus,85,159.0,7.0,57.0,1.0
55,vez,85,402.0,28.0,83.0,8.0
56,almoçar,84,231.0,25.0,74.0,2.0
57,dinheiro,83,2943.0,635.0,234.0,22.0
58,usar,82,1684.0,180.0,200.0,20.0
59,falar,80,356.0,1537.0,87.0,4.0
60,ganhar,80,191.0,21.0,91.0,2.0
61,uber,79,368.0,52.0,58.0,2.0
62,descontar,76,317.0,28.0,54.0,1.0
63,nao,74,371.0,14.0,122.0,10.0
64,app,73,3233.0,3131.0,272.0,20.0
65,odiar,73,86.0,10.0,26.0,1.0
66,deixar,72,1629.0,1355.0,82.0,8.0
67,ifo,71,,,,
68,algum,71,285.0,70.0,92.0,1.0
69,olhar,70,294.0,360.0,64.0,2.0
70,precisar,68,314.0,97.0,58.0,8.0
71,vontade,67,113.0,9.0,55.0,0.0
72,tudo,67,781.0,46.0,135.0,7.0
73,receber,66,2945.0,3067.0,199.0,24.0
74,amar,66,364.0,9.0,71.0,3.0
75,pro,66,689.0,157.0,122.0,8.0
76,tentar,65,139.0,3498.0,68.0,3.0
77,cartão,64,181.0,46.0,79.0,4.0
78,dizer,64,834.0,2436.0,90.0,2.0
79,dois,61,222.0,29.0,85.0,2.0
80,loja,61,408.0,87.0,105.0,4.0
81,mim,60,321.0,18.0,77.0,2.0
82,ifoo,59,,,,
83,mal,58,152.0,27.0,49.0,2.0
84,pensar,57,179.0,190.0,44.0,2.0
85,sempre,57,403.0,354.0,60.0,1.0
86,dever,55,1165.0,29.0,48.0,4.0
87,tão,54,214.0,0.0,47.0,1.0
88,ainda,54,336.0,53.0,105.0,8.0
89,ontem,54,164.0,5.0,41.0,1.0
90,bem,54,571.0,51.0,122.0,4.0
91,melhor,52,131.0,23.0,43.0,2.0
92,lugar,52,255.0,19.0,56.0,3.0
93,quase,52,276.0,15.0,71.0,1.0
94,amigo,51,63.0,9.0,45.0,1.0
95,tanto,51,67.0,0.0,33.0,1.0
96,doce,50,123.0,12.0,37.0,2.0
97,promoção,49,89.0,25.0,33.0,3.0
98,simplesmente,48,223.0,18.0,76.0,4.0
99,cancelar,48,654.0,11.0,76.0,6.0
100,trabalhar,48,202.0,27.0,69.0,1.0
101,novo,47,220.0,554.0,36.0,2.0
102,colar,47,2603.0,311.0,133.0,17.0
103,mês,47,412.0,10.0,76.0,1.0
104,pessoa,47,153.0,7.0,63.0,2.0
105,vender,47,113.0,2163.0,45.0,1.0
106,cupons,47,180.0,17.0,39.0,0.0
107,parar,46,120.0,641.0,44.0,1.0
108,coloc,46,,,,
109,semana,45,4043.0,484.0,185.0,43.0
110,ajudar,45,123.0,53.0,51.0,3.0
111,porra,45,129.0,349.0,50.0,4.0
112,bolar,44,60.0,12.0,28.0,0.0
113,mãe,44,3160.0,627.0,173.0,23.0
114,jantar,44,271.0,15.0,50.0,4.0
115,mcdonalds_br,43,,,,
116,problema,43,417.0,39.0,56.0,3.0
117,entrar,43,465.0,1551.0,90.0,7.0
118,fluxogg,43,,,,
119,dessar,42,192.0,77.0,48.0,2.0
120,primeiro,41,1168.0,40.0,52.0,2.0
121,cornershop,41,8.0,0.0,3.0,0.0
122,obrigar,41,275.0,19.0,44.0,6.0
123,algo,41,113.0,4.0,39.0,2.0
124,lactar,41,134.0,47.0,7.0,2.0
125,atrasar,40,130.0,6.0,42.0,2.0
126,assim,40,321.0,2205.0,51.0,2.0
127,mercar,39,311.0,65.0,72.0,4.0
128,rappi,38,175.0,11.0,14.0,0.0
129,errar,37,2913.0,401.0,184.0,19.0
130,porque,37,3338.0,135.0,58.0,5.0
131,min,37,87.0,0.0,25.0,1.0
132,sim,37,128.0,1530.0,34.0,1.0
133,acontecer,36,904.0,16.0,35.0,3.0
134,chamar,36,250.0,107.0,37.0,22.0
135,pegar,36,132.0,9.0,36.0,4.0
136,vcs,36,191.0,54.0,36.0,3.0
137,lembrar,36,196.0,3.0,55.0,0.0
138,dio,36,,,,
139,morrer,36,140.0,2.0,32.0,4.0
140,favor,36,65.0,6.0,14.0,1.0
141,tempo,35,2701.0,329.0,169.0,22.0
142,procurar,35,178.0,35.0,45.0,2.0
143,tomar,35,603.0,50.0,107.0,8.0
144,noite,35,140.0,29.0,37.0,0.0
145,vidar,34,352.0,14.0,68.0,1.0
146,taxar,34,156.0,5.0,48.0,0.0
147,resolver,33,152.0,14.0,57.0,1.0
148,atendimento,33,96.0,14.0,29.0,0.0
149,pois,33,213.0,11.0,39.0,2.0
150,agr,33,63.0,4.0,26.0,2.0
151,opção,33,100.0,15.0,40.0,0.0
152,cair,33,212.0,47.0,32.0,3.0
153,esquecer,33,1176.0,49.0,35.0,5.0
154,preço,33,221.0,49.0,50.0,5.0
155,vezar,33,63.0,184.0,33.0,0.0
156,lucasbissoli,33,,,,
157,merda,32,141.0,2424.0,21.0,2.0
158,gostar,32,135.0,74.0,39.0,5.0
159,delivery,32,129.0,45.0,39.0,3.0
160,foder,32,1364.0,202.0,34.0,1.0
161,kkkk,31,99.0,7.0,42.0,1.0
162,nenhum,31,305.0,28.0,44.0,3.0
163,então,31,239.0,63.0,77.0,3.0
164,comigo,30,630.0,11.0,33.0,0.0
165,aberto,30,59.0,3.0,16.0,0.0
166,pqp,30,192.0,47.0,38.0,4.0
167,li_cerq,30,,,,
168,triste,29,40.0,1.0,22.0,0.0
169,outro,29,341.0,96.0,63.0,2.0
170,umar,29,8222.0,15087.0,799.0,74.0
171,descobrir,29,108.0,10.0,29.0,2.0
172,empresar,29,1211.0,66.0,38.0,3.0
173,manhã,29,368.0,127.0,47.0,6.0
174,amor,29,78.0,1.0,17.0,0.0
175,tirar,28,1481.0,160.0,58.0,7.0
176,feliz,28,69.0,3.0,37.0,2.0
