,user,text,created_at,retweet_count,reply_count,like_count,quote_count
0,Julia David,@iFood quero meu reembolso do mc por favor,2022-04-02 11:56:42+00:00,0,0,0,1
1,Ravena,"40% DE DESCONTO no primeiro pedido em mercado farmacia ou restaurantes com RAPPI? 🛵 
É só usar o cupom COMEGURIA40
*válido para primeiro pedido nas  compras acima de R$30
#rappi #rappibrasil #deliveryboy #cupom #desconto #ifood  #ubereats ##bbb #copa s https://t.co/1xr81KVlrA",2022-04-02 11:56:18+00:00,0,0,0,0
2,Bot Itapeviense 🤖,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:56:08+00:00,1,0,0,0
3,Luca Lizana,"Sonhei que pedi uma pizza pelo ifood, mas o endereço de entrega tava la nos EUA

ai tive que ligar pra lanchonete, e falando inglês para eles cancelarem o pedido",2022-04-02 11:55:03+00:00,0,1,6,0
4,rodz1n,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:54:07+00:00,1,0,0,0
5,Bandido Chique 🚩🥋,Impressionante como o @iFood é tipo o pior app da história.,2022-04-02 11:52:46+00:00,0,1,1,0
6,Cabo Cabo38,Boa sorte ao entregador do Ifood! ⚫⭐🔴 #VamosVirarMengo https://t.co/fItO7Bgkx2,2022-04-02 11:52:15+00:00,0,0,0,0
7,Bolsonaro 2022,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:52:07+00:00,1,0,0,0
8,Sicoob Crediara,"@iFood 

Meu pedido chegou com 1:50hs de atraso e o restaurante não quis cancelar o pedido, tentaram me entregar a força, não quis receber e mesmo assim deram o pedido como entregue 

O atendimento deste IFOOD é uma porcaria, não conseguimos nenhum canal de atendimento.",2022-04-02 11:51:57+00:00,0,0,0,0
9,Tiozão sem férias,"RT @rafaelbboa: 2 anos recebendo 30K em casa e pedindo Ifood.

Estão revoltados com o que? Ganho de peso?

Merecem uma canetada e rua, pra…",2022-04-02 11:51:24+00:00,126,0,0,0
10,Patrick França,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:50:07+00:00,1,0,0,0
11,Amarílis in the sky with diamonds ☭,"No App Sicoob e App Sicoob Poupança, você pode carregar os seus aplicativos de alimentação e transporte como: Uber, Uber Eats, iFood, entre outros. 

Para aproveitar,é só selecionar o menu ""Serviços Digitais"" e encontrar o que procura. 

Fácil assim!

#sicoobcrediara 
#façaparte https://t.co/yt3ZNY47tJ",2022-04-02 11:50:01+00:00,0,0,0,0
12,Maria,Mais uma vez pedindo e não recebendo. @iFood me ajuda aí vai. Cadê o suporte que nem no App tô conseguindo??,2022-04-02 11:49:51+00:00,0,0,0,0
13,Thiago,"RT @UOLNoticias: iFood ficou tão grande que afeta concorrência e clientes, dizem analistas https://t.co/RGD4j7zmIW",2022-04-02 11:49:34+00:00,3,0,0,0
14,Thay Thay ❤️,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:48:06+00:00,1,0,0,0
15,Marcelo Alves de Siqueira Barboza,"RT @mental2022: @Sabrinawolf100 @Nattypegg @DavidIgor_ @g1 @Normose_ Já passou da hora de debatermos a uberização... uber, ifood, 99 etc sã…",2022-04-02 11:47:16+00:00,5,0,0,0
