id,user,user_id,text,created_at,retweet_count,reply_count,like_count,quote_count
0,evy,2502434975,"não sei o que é pior, esperar ifood ou correios",2022-04-15 14:20:28+00:00,0,0,1,0
1,Jeftte Soares 🏴🇨🇺🇵🇸,55008203,@revistapiaui @fernandobarros @zerotoledo @thais_bilenky Uma pena que o Foro tenha se curvado ao patrocinador e não trate sobre o @iFood https://t.co/GV6BUN3nXp,2022-04-15 14:19:47+00:00,0,0,1,0
2,Rafael Ângelo #ForaMarcosBraz 🔴⚫,4076965828,"@maurocezar @cahemota @IvanRaupp @ericfaria74 Esse Entregador de Ifood só pode está de Sacanagem com o Torcedor dizendo que é maior , O FLAMENGO deveria embrulhar ele é mandar pelo MercadoLivre pro Manchester United TNC MERMÃO SAUDAÇÕES RUBRO NEGRAS 🔴⚫🖕🏾 .",2022-04-15 14:19:29+00:00,0,0,19,0
3,🇵🇸Lano 21🍥,1421305596096262152,"@revistapiaui @fernandobarros @zerotoledo @thais_bilenky O iFood fez propaganda institucional no Foro durante muito tempo, em meio aos escândalos e abusos das condições de trabalho do app.
Quando vai rolar uma abordagem, ao menos uma nota, sobre a investigação da Agência Pública que desmascarou todo o esquema?
https://t.co/kdB0UXuxsJ",2022-04-15 14:19:12+00:00,0,0,1,0
4,fefe,1066734160432308225,as promo do ifood me salvaram hj pq peixe não eras,2022-04-15 14:18:29+00:00,0,0,3,0
5,Renan Köpp 🥷,1346198814269562880,"@Nogueira10__ Pediram foi um combo no ifood, irmão",2022-04-15 14:18:16+00:00,0,1,0,0
6,Gabriel Nogueira,1473746806320283655,"320 reais gasto em comida no IFood bicho, putaria",2022-04-15 14:16:18+00:00,0,1,0,0
7,Marc Race🏄🏻‍♂️🏎♦️,225649635,"RT @historia_pensar: @BFR_Leleco @Guerreiracomun1 Também não recebemos dinheiro do iFood - ou de qualquer organização, empresa ou indivíduo…",2022-04-15 14:15:59+00:00,10,0,0,0
8,ordepdarc,287403401,"RT @clalevy_: sabe o iFood? 

hoje mostramos na @agenciapublica como agências de publicidade à serviço do iFood criaram uma campanha de mar…",2022-04-15 14:12:18+00:00,4958,0,0,0
9,Salvador Daqui,14205892,"@MarceloSVespa @chicobarney Pode ter um iSósia também, tipo iFood, só que tu pede o teu sósia e ele chega de moto na tua casa em 30m.",2022-04-15 14:11:25+00:00,0,0,2,0
10,Cami,4254053831,"@dandancap amigo tem uma pastelaria no ifood, 30 cm recheadao e gostoso em ,15/20 $pastéis",2022-04-15 14:10:17+00:00,0,1,0,0
11,Carlos Portela,123706225,"Mc donald’s no ifood nao tem a opção de pedir um combo de big tasty e o spoleto ta fechado, acho q eu sou o homem mais triste do mundo no meu dia de refeiçao livre",2022-04-15 14:09:20+00:00,0,0,0,0
12,Maxwell,1421871431701471233,"@arthurgomeez @Edson_Paes_RJ @futebol_info @geglobo So c n representar vc pq o kra representa o Flamengo demais,e ele ainda fez pouco c fosse eu pulava a grade e metia umas porrada no andreas esse ifood do kralho",2022-04-15 14:08:40+00:00,0,1,1,0
13,beatriz,716972884,Não acredito que to sentada do lado de um brasileiro em sh e ele tá explicando pra gringa que ele tá num date o que é o ifood. Que momento,2022-04-15 14:08:09+00:00,0,0,1,0
14,𝕭𝖎𝖊𝖑,3555364827,"Clonaram o cartão da minha vó, 94 conto no iFood em Sp",2022-04-15 14:07:10+00:00,0,0,0,0
15,Hélio,1507844418279288839,"RT @IvanValente: iFood está sendo investigado pela CPI da Câmara Municipal de SP, e também pelo Ministério Público do Trabalho a partir de…",2022-04-15 14:04:56+00:00,40,0,0,0
16,.,1481844126991667202,11 da manhã e eu já acordo xingando o entregador de ifood😍,2022-04-15 14:04:40+00:00,0,0,0,0
17,Bot Itapeviense 🤖,1310551041977520128,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4weH41

Esse lugar é a sua cara…",2022-04-15 14:04:19+00:00,1,0,0,0
18,Gustavo M,1096798380,"RT @historia_pensar: @BFR_Leleco @Guerreiracomun1 Também não recebemos dinheiro do iFood - ou de qualquer organização, empresa ou indivíduo…",2022-04-15 14:04:18+00:00,10,0,0,0
19,ִֶ🇧🇷,1243938254828769281,"Eu pensei q ia acorda bem... ai leio essa entrevista brega do entregador de ifood

N tem oq falar fica com a boca calado euem",2022-04-15 14:02:50+00:00,0,1,0,0
20,T.G. Meirelles🇨🇺🇻🇪🇵🇸🇨🇳🇷🇺,58062081,"RT @historia_pensar: @BFR_Leleco @Guerreiracomun1 Também não recebemos dinheiro do iFood - ou de qualquer organização, empresa ou indivíduo…",2022-04-15 14:02:24+00:00,10,0,0,0
21,𝐻𝑒𝑙𝑜𝑏𝑟𝑖𝑠𝑎,1241174115073097729,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-15 14:02:19+00:00,1,0,0,0
22,",",943664209,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-15 14:00:18+00:00,1,0,0,0
23,iury,888243338914054144,"Se o coyote tem condições de comprar essas armadilhas tecnológicas e outros materiais, pq ele não pede logo uma almoço no ifood ? https://t.co/qGH9hWw5Pe",2022-04-15 13:59:27+00:00,2,2,4,0
