,user,user_id,text,created_at,retweet_count,reply_count,like_count,quote_count,class
0,evy,2502434975,não sei o que é pior esperar ifood ou correios,2022-04-15 14:20:28+00:00,0,0,1,0,neg
2,Rafael Ângelo #ForaMarcosBraz 🔴⚫,4076965828,@maurocezar @cahemota @ivanraupp @ericfaria esse entregador de ifood só pode está de sacanagem com o torcedor dizendo que é maior o flamengo deveria embrulhar ele é mandar pelo mercadolivre pro manchester united tnc mermão saudações rubro negras 🔴⚫🖕🏾,2022-04-15 14:19:29+00:00,0,0,19,0,neg
4,fefe,1066734160432308225,as promo do ifood me salvaram hj pq peixe não eras,2022-04-15 14:18:29+00:00,0,0,3,0,neg
6,Gabriel Nogueira,1473746806320283655,reais gasto em comida no ifood bicho putaria,2022-04-15 14:16:18+00:00,0,1,0,0,neg
7,Marc Race🏄🏻‍♂️🏎♦️,225649635,rt @historia_pensar @bfr_leleco @guerreiracomun também não recebemos dinheiro do ifood ou de qualquer organização empresa ou indivíduo…,2022-04-15 14:15:59+00:00,10,0,0,0,neg
12,Maxwell,1421871431701471233,@arthurgomeez @edson_paes_rj @futebol_info @geglobo so c n representar vc pq o kra representa o flamengo demais e ele ainda fez pouco c fosse eu pulava a grade e metia umas porrada no andreas esse ifood do kralho,2022-04-15 14:08:40+00:00,0,1,1,0,neg
19,ִֶ🇧🇷,1243938254828769281,eu pensei q ia acorda bem ai leio essa entrevista brega do entregador de ifood n tem oq falar fica com a boca calado euem,2022-04-15 14:02:50+00:00,0,1,0,0,neg
25,Gerard Whey,3173424405,nem tomei cafe da manha ainda e ja to pensando no que vou pedir de ifood hj,2022-04-15 13:57:54+00:00,0,0,0,0,neg
26,eu odeio futebol,900021956413722624,o motorista do ifood dando grau eu já vi https t co sffauflj a,2022-04-15 13:57:49+00:00,0,0,5,0,neg
27,C a m i l a 🐊,889692959276503041,@rafaeh_ oooooh entendo hahahaha hoje eu vou ter que apelar pra ifood prq não tá fácil hahaha em segmento é? já estou ansiosa hahahha,2022-04-15 13:57:24+00:00,0,0,0,0,neg
29,thales,1432715235983515651,ontem pedi um dogao e uma porção de sticks de queijo e a hamburgueria mandou só um hamburguer reclamei no ifood e eles me deixaram c o hamburguer e mandaram o dogao a porção y ainda me reembolsaram 🤰🏽,2022-04-15 13:56:16+00:00,0,0,1,0,neg
30,Jeezus,2254226139,@ste_ramalho eu já pedi salada em restaurante assim no ifood por aqui tb mas eu não consigo pedir mais vezes pq acho muito caro kkkkkk eu compro as folhas e verduras faço uma igual e sai bem mais barato,2022-04-15 13:56:04+00:00,0,1,0,0,neg
32,JEAN LUCCA,3309615855,eu e o gian combinamos de não gastar dando chocolate um p outro e dividirmos o que ganhamos aí do nada chega um ifood no meu serviço com bruna trufas esse cara não existe,2022-04-15 13:55:23+00:00,0,0,2,0,neg
39,antonny mello,1485837709591650305,@vaquesyasmim eu me recuso a pagar entrada pra role comprei um cantil pra levar bebida de casa como não to namorando quase nunca mais peço ifood numa sexta sábado a noite e cara se tu for ter um date com um maluco rico faça ele pagar,2022-04-15 13:49:56+00:00,0,2,2,0,neg
46,GABITA🇺🇾🇧🇷,35218834,@approvestydia sério só que aqui na minha cidade ele não funciona ainda male mal o ifood,2022-04-15 13:47:00+00:00,0,0,0,0,neg
49,...John Wick...🍀,516616563,ah tb pedi lanche o ifood cancelei o cara disse q tava pronto e eu falei q n ia pegar kkkkkkk gnt q remédio é esse ???,2022-04-15 13:45:28+00:00,0,0,0,0,neg
