,user,user_id,text,created_at,retweet_count,reply_count,like_count,quote_count,class
1,Jeftte Soares 🏴🇨🇺🇵🇸,55008203,@revistapiaui @fernandobarros @zerotoledo @thais_bilenky uma pena que o foro tenha se curvado ao patrocinador e não trate sobre o @ifood https t co gv bun nxp,2022-04-15 14:19:47+00:00,0,0,1,0,pos
3,🇵🇸Lano 21🍥,1421305596096262152,@revistapiaui @fernandobarros @zerotoledo @thais_bilenky o ifood fez propaganda institucional no foro durante muito tempo em meio aos escândalos e abusos das condições de trabalho do app quando vai rolar uma abordagem ao menos uma nota sobre a investigação da agência pública que desmascarou todo o esquema? https t co kdb uxuxsj,2022-04-15 14:19:12+00:00,0,0,1,0,pos
5,Renan Köpp 🥷,1346198814269562880,@nogueira __ pediram foi um combo no ifood irmão,2022-04-15 14:18:16+00:00,0,1,0,0,pos
8,ordepdarc,287403401,rt @clalevy_ sabe o ifood? hoje mostramos na @agenciapublica como agências de publicidade à serviço do ifood criaram uma campanha de mar…,2022-04-15 14:12:18+00:00,4958,0,0,0,pos
9,Salvador Daqui,14205892,@marcelosvespa @chicobarney pode ter um isósia também tipo ifood só que tu pede o teu sósia e ele chega de moto na tua casa em m,2022-04-15 14:11:25+00:00,0,0,2,0,pos
10,Cami,4254053831,@dandancap amigo tem uma pastelaria no ifood cm recheadao e gostoso em pastéis,2022-04-15 14:10:17+00:00,0,1,0,0,pos
11,Carlos Portela,123706225,mc donald’s no ifood nao tem a opção de pedir um combo de big tasty e o spoleto ta fechado acho q eu sou o homem mais triste do mundo no meu dia de refeiçao livre,2022-04-15 14:09:20+00:00,0,0,0,0,pos
13,beatriz,716972884,não acredito que to sentada do lado de um brasileiro em sh e ele tá explicando pra gringa que ele tá num date o que é o ifood que momento,2022-04-15 14:08:09+00:00,0,0,1,0,pos
14,𝕭𝖎𝖊𝖑,3555364827,clonaram o cartão da minha vó conto no ifood em sp,2022-04-15 14:07:10+00:00,0,0,0,0,pos
15,Hélio,1507844418279288839,rt @ivanvalente ifood está sendo investigado pela cpi da câmara municipal de sp e também pelo ministério público do trabalho a partir de…,2022-04-15 14:04:56+00:00,40,0,0,0,pos
16,.,1481844126991667202,da manhã e eu já acordo xingando o entregador de ifood😍,2022-04-15 14:04:40+00:00,0,0,0,0,pos
17,Bot Itapeviense 🤖,1310551041977520128,rt @jmdocesifood #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw weh esse lugar é a sua cara…,2022-04-15 14:04:19+00:00,1,0,0,0,pos
21,𝐻𝑒𝑙𝑜𝑏𝑟𝑖𝑠𝑎,1241174115073097729,rt @jmdocesifood #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw vx ct esse lugar é a sua cara…,2022-04-15 14:02:19+00:00,1,0,0,0,pos
23,iury,888243338914054144,se o coyote tem condições de comprar essas armadilhas tecnológicas e outros materiais pq ele não pede logo uma almoço no ifood https t co qgh hww pe,2022-04-15 13:59:27+00:00,2,2,4,0,pos
31,baluarte da moderação e da democracia,119913703,@kahrinya maravilhosa dá até pra pedir coisa no ifood se quisesse jaksjakdjr,2022-04-15 13:55:45+00:00,0,1,0,0,pos
