,user,user_id,text,created_at,retweet_count,reply_count,like_count,quote_count,class
10090,Thaina Vieira,1220437524742656000,ifood tá me chamando hoje,2022-04-11 20:59:41+00:00,0,0,0,0,Neutro
10089,José ⁷⁷⁷✠ᝪ᪵,1198984524354531329,"rt @lisianemellin @vlogdolisboa graças a deus o povo não sofreu no ""fique em casa"" bastava a gente pedir ifood https t co hhnecdeuv",2022-04-11 20:59:43+00:00,3,0,0,0,Neutro
10087,Ana Paula,1390070094705876996,o ifood se preocupa tanto o planeta pena que os entregadores não fazem parte do planeta,2022-04-11 21:00:20+00:00,0,0,4,0,Neutro
10086,Elizabete J. Moresco,1258041929125814272,@ifood ate a americanas divulgando cupom melhor que vocês sumiram em plena pascoa?,2022-04-11 21:00:24+00:00,0,0,0,0,Neutro
10084,Marcos Teixeira,4708569627,@galodecrocs @biodiversidadeb calma q amanhã sai a foto da onça pedindo subway no ifood,2022-04-11 21:00:58+00:00,0,0,4,0,Neutro
10082,Icaro.Gillead 🇧🇷🇺🇳,1002202147436589056,eu pedi eu pedi ifood na chuva quero me m q odio,2022-04-11 21:01:13+00:00,0,1,0,0,Neutro
10079,𝔗𝔥𝔢 𝔐𝔞𝔫,2790773425,@philperspektive aparentemente o tráfico já está comercializando pelo ifood,2022-04-11 21:01:37+00:00,0,0,0,0,Negativo
10078,black philip,60731992,@ifood vocês são fodasss!! ❤️,2022-04-11 21:01:43+00:00,0,0,0,0,Negativo
10076,Nini 🌻,183580685,alguém sabe algum franguinho bom pelo ifood,2022-04-11 21:01:51+00:00,0,0,0,0,Neutro
10074,Marllin 777 💢,974746420312989696,peguei um ovo de páscoa de grátis no ifood hehe,2022-04-11 21:01:59+00:00,0,0,1,0,Neutro
10072,lininha,313571915,@serginhocalado so espero que n tenha ifood e cabana com estrutura de hotel como temporada passada,2022-04-11 21:02:20+00:00,0,1,1,0,Neutro
10069,Hortência 🌎,2718223886,até no ifood carioca quer dar golpe 💀💀,2022-04-11 21:02:58+00:00,0,0,0,0,Neutro
10068,nazura,311392254,aaaaah nao bicho pessoal ta tonto d kkkkkkk tao achando q quando a onça sente fome ela pede no ifood https t co gl waxr cc,2022-04-11 21:03:15+00:00,0,0,5,0,Neutro
10066,leticia 𖤐,99741847,"""ain mas no ifood sai caro esse teu pedido aí"" é você quem paga?",2022-04-11 21:04:23+00:00,0,0,0,1,Neutro
10065,Lucas Silva,861192561981083649,@futebol_info @venecasagrande vai falar assim isso aqui é um clube de futebol não um restaurante do ifood fim,2022-04-11 21:04:41+00:00,0,0,1,0,Neutro
10063,Yuri ᶜʳᶠ,941736282723700741,tô tentando pedir uma tapioca no ifood mais tá foda,2022-04-11 21:05:31+00:00,0,0,0,0,Neutro
10062,Jeneci Kassin Tulipa,4910884666,@nbabrasil @cacaushow eu não pagar taxa de entrega do ifood para ganhar uma bola,2022-04-11 21:05:58+00:00,0,0,0,0,Neutro
10059,Gabi Strack,55713817,@biodiversidadeb desnecessário essa onça arrombado ter matado a capivara sendo q tem ifood às vezes tem animais q simplesmente se negam a evoluir,2022-04-11 21:06:57+00:00,0,0,0,0,Neutro
10057,𝕷𝖚𝖈𝖆𝖘 𝕲𝖆𝖇𝖗𝖎𝖊𝖑,282024158,como eu amo cupons no ifood pra satisfazer meus vícios comigo tendo a desculpa de pagar barato,2022-04-11 21:07:18+00:00,0,0,2,0,Neutro
